average_frametime_ms,23.951
frame,timestamp_ms,frametime_ms
7,8442,21.000
8,8464,22.000
9,8486,22.000
10,8508,22.000
11,8529,21.000
12,8552,23.000
13,8573,21.000
14,8596,23.000
15,8619,23.000
16,8641,22.000
17,8663,22.000
18,8684,21.000
19,8704,20.000
20,8726,22.000
21,8747,21.000
22,8768,21.000
23,8789,21.000
24,8811,22.000
25,8833,22.000
26,8854,21.000
27,8875,21.000
28,8895,20.000
29,8916,21.000
30,8936,20.000
31,8957,21.000
32,8977,20.000
33,8998,21.000
34,9020,22.000
35,9041,21.000
36,9061,20.000
37,9082,21.000
38,9103,21.000
39,9123,20.000
40,9144,21.000
41,9165,21.000
42,9185,20.000
43,9206,21.000
44,9226,20.000
45,9248,22.000
46,9269,21.000
47,9289,20.000
0,9310,21.000
1,9331,21.000
2,9351,20.000
3,9372,21.000
4,9393,21.000
5,9414,21.000
6,9434,20.000
7,9455,21.000
8,9476,21.000
9,9497,21.000
10,9518,21.000
11,9538,20.000
12,9559,21.000
13,9579,20.000
14,9600,21.000
15,9620,20.000
16,9641,21.000
17,9662,21.000
18,9683,21.000
19,9703,20.000
20,9724,21.000
21,9744,20.000
22,9765,21.000
23,9786,21.000
24,9806,20.000
25,9827,21.000
26,9847,20.000
27,9868,21.000
28,9889,21.000
29,9909,20.000
30,9929,20.000
31,9950,21.000
32,9970,20.000
33,9991,21.000
34,10011,20.000
35,10032,21.000
36,10052,20.000
37,10073,21.000
38,10094,21.000
39,10114,20.000
40,10135,21.000
41,10157,22.000
42,10178,21.000
43,10198,20.000
44,10219,21.000
45,10240,21.000
46,10261,21.000
47,10281,20.000
48,10302,21.000
0,10322,20.000
1,10343,21.000
2,10365,22.000
3,10387,22.000
4,10407,20.000
5,10428,21.000
6,10448,20.000
7,10469,21.000
8,10490,21.000
9,10510,20.000
10,10531,21.000
11,10553,22.000
12,10574,21.000
13,10594,20.000
14,10615,21.000
15,10636,21.000
16,10658,22.000
17,10679,21.000
18,10700,21.000
19,10720,20.000
20,10741,21.000
21,10762,21.000
22,10783,21.000
23,10804,21.000
24,10825,21.000
25,10846,21.000
26,10866,20.000
27,10888,22.000
28,10909,21.000
29,10929,20.000
30,10949,20.000
31,10970,21.000
32,10991,21.000
33,11011,20.000
34,11032,21.000
35,11054,22.000
36,11074,20.000
37,11095,21.000
38,11115,20.000
39,11136,21.000
40,11157,21.000
41,11178,21.000
42,11198,20.000
43,11220,22.000
44,11241,21.000
45,11262,21.000
46,11282,20.000
47,11303,21.000
0,11323,20.000
1,11344,21.000
2,11365,21.000
3,11386,21.000
4,11407,21.000
5,11428,21.000
6,11449,21.000
7,11470,21.000
8,11491,21.000
9,11512,21.000
10,11533,21.000
11,11554,21.000
12,11575,21.000
13,11596,21.000
14,11616,20.000
15,11637,21.000
16,11657,20.000
17,11678,21.000
18,11700,22.000
19,11720,20.000
20,11741,21.000
21,11762,21.000
22,11784,22.000
23,11805,21.000
24,11825,20.000
25,11846,21.000
26,11867,21.000
27,11888,21.000
28,11909,21.000
29,11929,20.000
30,11950,21.000
31,11970,20.000
32,11991,21.000
33,12011,20.000
34,12032,21.000
35,12053,21.000
36,12074,21.000
37,12094,20.000
38,12115,21.000
39,12136,21.000
40,12157,21.000
41,12178,21.000
42,12199,21.000
43,12221,22.000
44,12242,21.000
45,12263,21.000
46,12284,21.000
47,12306,22.000
0,12327,21.000
1,12347,20.000
2,12369,22.000
3,12391,22.000
4,12411,20.000
5,12432,21.000
6,12452,20.000
7,12474,22.000
8,12495,21.000
9,12516,21.000
10,12537,21.000
11,12558,21.000
12,12581,23.000
13,12602,21.000
14,12623,21.000
15,12643,20.000
16,12664,21.000
17,12685,21.000
18,12706,21.000
19,12727,21.000
20,12748,21.000
21,12770,22.000
22,12791,21.000
23,12812,21.000
24,12833,21.000
25,12854,21.000
26,12875,21.000
27,12896,21.000
28,12917,21.000
29,12937,20.000
30,12958,21.000
31,12979,21.000
32,13000,21.000
33,13021,21.000
34,13042,21.000
35,13063,21.000
36,13084,21.000
37,13105,21.000
38,13125,20.000
39,13147,22.000
40,13170,23.000
41,13192,22.000
42,13212,20.000
43,13233,21.000
44,13253,20.000
45,13274,21.000
46,13295,21.000
47,13315,20.000
0,13336,21.000
1,13357,21.000
2,13377,20.000
3,13398,21.000
4,13419,21.000
5,13439,20.000
6,13461,22.000
7,13482,21.000
8,13503,21.000
9,13525,22.000
10,13546,21.000
11,13568,22.000
12,13588,20.000
13,13610,22.000
14,13631,21.000
15,13652,21.000
16,13673,21.000
17,13696,23.000
18,13717,21.000
19,13739,22.000
20,13760,21.000
21,13782,22.000
22,13803,21.000
23,13824,21.000
24,13845,21.000
25,13867,22.000
26,13889,22.000
27,13910,21.000
28,13932,22.000
29,13953,21.000
30,13973,20.000
31,13994,21.000
32,14015,21.000
33,14036,21.000
34,14057,21.000
35,14078,21.000
36,14099,21.000
37,14120,21.000
38,14141,21.000
39,14162,21.000
40,14183,21.000
41,14204,21.000
42,14225,21.000
43,14246,21.000
44,14267,21.000
45,14289,22.000
46,14310,21.000
47,14332,22.000
0,14352,20.000
1,14373,21.000
2,14394,21.000
3,14415,21.000
4,14436,21.000
5,14457,21.000
6,14479,22.000
7,14500,21.000
8,14521,21.000
9,14541,20.000
10,14562,21.000
11,14584,22.000
12,14605,21.000
13,14626,21.000
14,14647,21.000
15,14668,21.000
16,14689,21.000
17,14710,21.000
18,14731,21.000
19,14752,21.000
20,14773,21.000
21,14793,20.000
22,14816,23.000
23,14836,20.000
24,14857,21.000
25,14878,21.000
26,14899,21.000
27,14920,21.000
28,14940,20.000
29,14961,21.000
30,14982,21.000
31,15003,21.000
32,15025,22.000
33,15046,21.000
34,15067,21.000
35,15088,21.000
36,15108,20.000
37,15129,21.000
38,15150,21.000
39,15172,22.000
40,15193,21.000
41,15214,21.000
42,15235,21.000
43,15255,20.000
